song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,12,11,4,G#4,68,e,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,D4,6.5,inside,1,-6,none,not assessed,short,leap-down,-4,no,9,middle,no,yes,no,
Sunless 01,12,11,5.5,G#4,68,i,Bozeman tenor-mezzo midpoint (stand-in),0.366,above,E3,15.5,inside,1,-6,none,not assessed,short,repeated,0,no,9,middle,no,yes,no,
Sunless 01,12,11,6,G#4,68,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.366,close,D4,5.96,inside,1,-6,none,not assessed,short,repeated,0,no,9,last,no,yes,no,
Sunless 01,12,12,1,G4,67,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,6.5,inside,0,-7,none,not assessed,short,step,-1,yes,10,first,no,yes,no,
Sunless 01,12,12,2,E4,64,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,D4,1.96,below primo,-3,-10,none,not assessed,short,leap-down,-3,no,10,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,12,3,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,2.5,inside,0,-7,none,not assessed,short,leap-up,3,no,10,middle,no,yes,no,
Sunless 01,12,12,4,A#4,70,i,Bozeman tenor-mezzo midpoint (stand-in),0.732,above,E3,17.5,inside,3,-4,none,not assessed,short,leap-up,3,no,10,middle,yes,no,no,highest of phrase
Sunless 01,12,12,5,G4,67,ɨ,derived from Bozeman tenor-mezzo (stand-in),0.366,close,A#3,9.11,inside,0,-7,none,not assessed,short,leap-down,-3,no,10,last,no,yes,no,
Sunless 01,12,12,6,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,2.5,inside,0,-7,none,not assessed,short,repeated,0,yes,11,first,no,yes,no,
Sunless 01,12,13,1,E4,64,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-0.5,below primo,-3,-10,none,not assessed,short,leap-down,-3,no,11,middle,no,no,no,
Sunless 01,12,13,2,D4,62,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,open,D4,-0.04,below primo,-5,-12,none,not assessed,short,step,-2,no,11,middle,no,no,no,
Sunless 01,12,13,3,E4,64,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-0.5,below primo,-3,-10,none,not assessed,short,step,2,no,11,middle,no,no,no,
Sunless 01,12,13,4,A#4,70,o,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,C#4,9.5,inside,3,-4,none,not assessed,short,leap-up,6,no,11,middle,yes,no,no,highest of phrase
Sunless 01,12,13,5.5,G4,67,ʌ,derived from Bozeman tenor-mezzo (stand-in),0.366,close,E4,2.5,inside,0,-7,none,not assessed,short,leap-down,-3,no,11,middle,no,yes,no,
Sunless 01,12,13,6,G4,67,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.366,close,D4,4.96,inside,0,-7,none,not assessed,short,repeated,0,no,11,last,no,yes,no,
Sunless 01,12,14,1,A#4,70,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,9.5,inside,3,-4,none,not assessed,short,leap-up,3,yes,12,first,no,no,no,
Sunless 01,12,14,2,A4,69,ʌ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,E4,4.5,inside,2,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,12,14,3,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,2.5,inside,0,-7,none,not assessed,short,step,-2,no,12,middle,no,yes,no,
Sunless 01,12,14,4,A#4,70,e,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,D4,8.5,inside,3,-4,none,not assessed,short,leap-up,3,no,12,middle,no,no,no,
Sunless 01,12,14,5.5,A4,69,i,Bozeman tenor-mezzo midpoint (stand-in),0.366,above,E3,16.5,inside,2,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,12,14,6,A4,69,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,D4,6.96,inside,2,-5,none,not assessed,short,repeated,0,no,12,middle,no,no,no,
Sunless 01,12,15,1,A#4,70,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,9.5,inside,3,-4,none,not assessed,short,step,1,no,12,middle,no,no,no,
Sunless 01,12,15,2,A4,69,ʌ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,E4,4.5,inside,2,-5,none,not assessed,short,step,-1,no,12,middle,no,no,no,
Sunless 01,12,15,3,G4,67,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,D4,4.96,inside,0,-7,none,not assessed,short,step,-2,no,12,middle,no,yes,no,
Sunless 01,12,15,4,C#5,73,e,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,D4,11.5,inside,6,-1,none,not assessed,short,leap-up,6,no,12,middle,yes,yes,yes,highest of phrase
Sunless 01,12,15,5.5,A4,69,i,Bozeman tenor-mezzo midpoint (stand-in),0.366,above,E3,16.5,inside,2,-5,none,not assessed,short,leap-down,-4,no,12,middle,no,no,no,
Sunless 01,12,15,6,A4,69,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.366,close,D4,6.96,inside,2,-5,none,not assessed,short,repeated,0,no,12,last,no,no,no,
Sunless 01,12,16,1,A4,69,o,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,C#4,8.5,inside,2,-5,none,not assessed,short,repeated,0,yes,13,first,yes,no,no,highest of phrase
Sunless 01,12,16,2.5,F4,65,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,0.5,below primo,-2,-9,none,not assessed,short,leap-down,-4,no,13,middle,no,no,no,turning pitch 0 to 2 st below
