song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 02,15,3,4.667,G#4,68,ɪ,derived from Bozeman tenor-mezzo,0.167,close,D4,5.96,inside,4,-8,none,not assessed,short,step,1,no,2,middle,yes,no,no,highest of phrase
Sunless 02,15,4,1,F4,65,o,Bozeman tenor-mezzo midpoint,0.25,close,C#4,4.5,inside,1,-11,none,not assessed,short,leap-down,-3,no,2,last,no,yes,no,
Sunless 02,15,4,2,F4,65,o,Bozeman tenor-mezzo midpoint,0.5,close,C#4,4.5,inside,1,-11,none,not assessed,short,repeated,0,yes,3,first,no,yes,no,
Sunless 02,15,4,3,E4,64,u,Bozeman tenor-mezzo midpoint,0.5,close,G3,9.5,inside,0,-12,none,not assessed,short,step,-1,no,3,middle,no,yes,no,
Sunless 02,15,4,4,E4,64,ʌ,derived from Bozeman tenor-mezzo,0.375,open,E4,-0.5,inside,0,-12,none,not assessed,short,repeated,0,no,3,middle,no,yes,no,
Sunless 02,15,4,4.75,E4,64,i,Bozeman tenor-mezzo midpoint,0.125,crossing,E3,11.5,inside,0,-12,none,not assessed,short,repeated,0,no,3,middle,no,yes,yes,crossing
Sunless 02,15,5,1,A#4,70,ɑ,Bozeman tenor-mezzo midpoint,0.5,close,E4,5.5,inside,6,-6,none,not assessed,short,leap-up,6,no,3,middle,yes,no,no,highest of phrase
Sunless 02,15,5,2,D#4,63,ʌ,derived from Bozeman tenor-mezzo,0.375,open,E4,-1.5,below primo,-1,-13,none,not assessed,short,leap-down,-7,no,3,middle,no,yes,no,
Sunless 02,15,5,2.75,D#4,63,ɛ,Bozeman tenor-mezzo midpoint,0.125,close,D#4,0.5,below primo,-1,-13,none,not assessed,short,repeated,0,no,3,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,5,3,D4,62,ɑ,Bozeman tenor-mezzo midpoint,0.5,open,E4,-2.5,below primo,-2,-14,none,not assessed,short,step,-1,no,3,middle,no,no,no,
Sunless 02,15,5,4,C4,60,ʌ,derived from Bozeman tenor-mezzo,0.25,open,E4,-4.5,below primo,-4,-16,none,not assessed,short,step,-2,no,3,last,no,no,no,
Sunless 02,15,5,4.75,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.125,open,E4,-4.5,below primo,-4,-16,none,not assessed,short,repeated,0,yes,4,first,no,no,no,
Sunless 02,15,6,1,F4,65,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,0.5,inside,1,-11,none,not assessed,short,leap-up,5,no,4,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,6,1.333,G4,67,u,Bozeman tenor-mezzo midpoint,0.167,crossing,G3,12.5,inside,3,-9,none,not assessed,short,step,2,no,4,middle,no,no,no,crossing
Sunless 02,15,6,1.667,F4,65,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,0.5,inside,1,-11,none,not assessed,short,step,-2,no,4,middle,no,yes,yes,turning pitch 0 to 2 st below
Sunless 02,15,6,2,C#5,73,i,Bozeman tenor-mezzo midpoint,0.167,above,E3,20.5,inside,9,-3,none,not assessed,short,leap-up,8,no,4,middle,yes,no,no,highest of phrase
Sunless 02,15,6,2.333,F4,65,ɑ,Bozeman tenor-mezzo midpoint,0.167,close,E4,0.5,inside,1,-11,none,not assessed,short,leap-down,-8,no,4,middle,no,yes,yes,turning pitch 0 to 2 st below
